Name,Price,Image,Description,Long description,Category,PriceId
Glossy Light Gray,32.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E0942753_1_360x.webp,Sheaffer® VFM 9427 Glossy Light Gray Fountain Pen With PVD Gold-Tone Trim - Medium,"The popular Sheaffer VFM makes an impact with its modern, tapered silhouette. It comes in a wide range of finishes from creative and colorful to smart and sophisticated. Its performance is backed by the Sheaffer White Dot, our symbol of writing excellence.",Fountain Pens,6546411
Brushed Chrome---Brushed ChromeBrushed ChromeBrushed ChromeBrushed ChromeBrushed ChromeBrushed ChromeBrushed Chrome,26.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E0942653_1_400x.webp,"Sheaffer® VFM 9426 Brushed Chrome Fountain Pen With Chrome Trim - Medium
","The popular Sheaffer VFM makes an impact with its modern, tapered silhouette. It comes in a wide range of finishes from creative and colorful to smart and sophisticated. Its performance is backed by the Sheaffer White Dot, our symbol of writing excellence.",Fountain Pens,5465415
Glossy PVD Gold,84.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E0937253_1_400x.webp,Sheaffer® 100 9372 Glossy PVD Gold Fountain Pen With PVD Gold Trim - Medium,"The Sheaffer 100 makes a great gift for celebrating an occasion or kicking off a new chapter. With its modern design, timeless finish options, and balanced feel, it is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer 100 is an affordable way to bring that experience up a notch while also making an impression.",Fountain Pens,5547996
Glossy Blue,46.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/WP23906_1_3327cd02-9b23-4450-a1d8-c36152ff5ad5_400x.webp,"Sheaffer® 100 Glossy Blue Fountain Pen With Chrome Trims - Fine
","The Sheaffer 100 makes a great gift for celebrating an occasion or kicking off a new chapter. With its modern design, timeless finish options, and balanced feel, it is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer 100 is an affordable way to bring that experience up a notch while also making an impression.",Fountain Pens,4524785
Glossy Light Gray,28.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E2942751_1_400x.webp,Sheaffer® VFM 9427 Glossy Light Gray Ballpoint Pen With PVD Gold-Tone Trim,"The popular Sheaffer VFM makes an impact with its modern, tapered silhouette. It comes in a wide range of finishes from creative and colorful to smart and sophisticated. Its performance is backed by the Sheaffer White Dot, our symbol of writing excellence.",Ballpoint Pens,3564774
Brushed Chrome,22.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E2942651_1_400x.webp,Sheaffer® VFM 9426 Brushed Chrome Ballpoint Pen With Chrome Trim,"The popular Sheaffer VFM makes an impact with its modern, tapered silhouette. It comes in a wide range of finishes from creative and colorful to smart and sophisticated. Its performance is backed by the Sheaffer White Dot, our symbol of writing excellence.",Ballpoint Pens,4412254
Glossy Coffee Brown,42.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E2937051-_1_400x.webp,Sheaffer® 100 9370 Glossy Coffee Brown Ballpoint Pen With PVD Gold-Tone Trim,"The Sheaffer 100 makes a great gift for celebrating an occasion or kicking off a new chapter. With its modern design, timeless finish options, and balanced feel, it is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer 100 is an affordable way to bring that experience up a notch while also making an impression.",Ballpoint Pens,1677898
Satin Blue,42.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/E2937151_1_1500x.webp,Sheaffer® 100 9371 Satin Blue Ballpoint Pen With PVD Blue Trim,"The Sheaffer 100 makes a great gift for celebrating an occasion or kicking off a new chapter. With its modern design, timeless finish options, and balanced feel, it is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer 100 is an affordable way to bring that experience up a notch while also making an impression.",Ballpoint Pens,4421566
Glossy Black 300 9312,51.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/G2931251-6_400x.webp,"Sheaffer Gift Set Glossy Black 300 9312 Ballpoint Pen With Chrome Trim And Pen Pouch
","This enticing gift set pairs a classic Sheaffer 300 ballpoint pen with a leather pen pouch. The Sheaffer 300 is boldly detailed with the iconic Sheaffer slotted clip and wide banding. The contemporary pen bears the Sheaffer White Dot, a symbol of writing excellence. Crafted from genuine leather featuring a sophisticated, black-milled texture, this sleek and practical single pen pouch is a must-have accessory.",Gift Sets,1233244
Bright Chrome 100,49.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/clockgiftset1_400x.webp,"Sheaffer Gift Set ft. Bright Chrome 100 Ballpoint Pen with Gold Trims and Table Clock
","With its modern design, timeless finish and balanced feel, this ballpoint pen is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer® 100 is an affordable way to bring that experience up a notch while also making an impression.",Gift Sets,4456588
Matte Black 100,34.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/Image1_400x.webp,"Sheaffer Gift Set ft. Matte Black 100 Ballpoint Pen with Chrome Trims and Business Card Holder
","With its modern design, timeless finish and balanced feel, this ballpoint pen is the perfect tool for letting ideas flow effortlessly onto the page. For anyone who enjoys writing, the Sheaffer® 100 is an affordable way to bring that experience up a notch while also making an impression.",Gift Sets,7789877
Fountain Pen Piston Converter,6.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/WP01568-1_400x.webp,"Sheaffer® Fountain Pen Piston Converter Push-in Style - Smoke
",This screw-action piston converter allows Sheaffer fountain pens to use bottled ink. It fits all Sheaffer fountain pens except those from the VFM collection.,Our Refills,4565411
Rollerball Refill,5.00,https://zyllio.github.io/zyllio-samples/order-by-email/pens/WP02208_1_400x.webp,"Sheaffer® Classic Rollerball Refill - Black Medium - Blister Card
",Sheaffer refills are renowned for being highly reliable and convenient for use on all paper. This refill is compatible with Sheaffer rollerball pens from the Sheaffer Legacy Heritage and Prelude collections. It is not suitable for Sheaffer VFM rollerball pens.,Our Refills,6854887