Nom,fichier,Catégorie
"Creme dessert chocolatee au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/CREME%20DESSERT%20CHOCOLATEE%20AU%20THERMOCHEF.mp3","Desserts"
"Dessert coco banane au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20BANANE%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco framboises au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20FRAMBOISES%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco myrtilles au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20MYRTILLES%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Dessert coco pruneaux au rhum facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/DESSERT%20COCO%20PRUNEAUX%20AU%20RHUM%20FACON%20THERMOCHEF.mp3","Desserts"
"Flan aux œufs et lait de coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/FLAN%20AUX%20%C5%92UFS%20ET%20LAIT%20DE%20COCO%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau a la carotte facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20A%20LA%20CAROTTE%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau aux amandes et myrtilles facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20AUX%20AMANDES%20ET%20MYRTILLES%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau aux pommes et citron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20AUX%20POMMES%20ET%20CITRON%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau moelleux au chocolat alsa facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20MOELLEUX%20AU%20CHOCOLAT%20ALSA%20FACON%20THERMOCHEF.mp3","Desserts"
"Gateau moelleux au chocolat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/GATEAU%20MOELLEUX%20AU%20CHOCOLAT%20FACON%20THERMOCHEF.mp3","Desserts"
"Naan a la banane et au coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/NAAN%20A%20LA%20BANANE%20ET%20AU%20COCO%20FACON%20THERMOCHEF.mp3","Desserts"
"Naan au chocolat et a l’orange facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/NAAN%20AU%20CHOCOLAT%20ET%20A%20L%E2%80%99ORANGE%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain au levain naturel et farine de seigle facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20AU%20LEVAIN%20NATUREL%20ET%20FARINE%20DE%20SEIGLE%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain aux noix sans petrissage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20AUX%20NOIX%20SANS%20PETRISSAGE%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Desserts"
"Pain multicereales aux legumes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20MULTICEREALES%20AUX%20LEGUMES%20FACON%20THERMOCHEF.mp3","Desserts"
"Pain vapeur basique facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/PAIN%20VAPEUR%20BASIQUE%20FACON%20THERMOCHEF.mp3","Desserts"
"Polenta vanille, rhum et pepites de chocolat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/POLENTA%20VANILLE%2C%20RHUM%20ET%20PEPITES%20DE%20CHOCOLAT%20FACON%20THERMOCHEF.mp3","Desserts"
"Quatre-quart marbre facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/QUATRE-QUART%20MARBRE%20FACON%20THERMOCHEF.mp3","Desserts"
"Riz au lait basse temperature fleur de coco et sirop de yacon facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/RIZ%20AU%20LAIT%20BASSE%20TEMPERATURE%20FLEUR%20DE%20COCO%20ET%20SIROP%20DE%20YACON%20FACON%20THERMOCHEF.mp3","Desserts"
"Yaourt maison a la cannelle et au miel au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20A%20LA%20CANNELLE%20ET%20AU%20MIEL%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison aux fruits rouges au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20AUX%20FRUITS%20ROUGES%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison vegetal a la vanille et au lait d’amande au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20VEGETAL%20A%20LA%20VANILLE%20ET%20AU%20LAIT%20D%E2%80%99AMANDE%20AU%20THERMOCHEF.mp3","Desserts"
"Yaourt maison vegetal au lait d’amande, cacao et banane au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/desserts/YAOURT%20MAISON%20VEGETAL%20AU%20LAIT%20D%E2%80%99AMANDE%2C%20CACAO%20ET%20BANANE%20AU%20THERMOCHEF.mp3","Desserts"
"Œufs a la coque facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20A%20LA%20COQUE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Œufs au plat facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20AU%20PLAT%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Œufs durs facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/%C5%92UFS%20DURS%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette au fromage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AU%20FROMAGE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette aux champignons, ail et persil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AUX%20CHAMPIGNONS%2C%20AIL%20ET%20PERSIL%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette aux oignons facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20AUX%20OIGNONS%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette courgette et chevre facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20COURGETTE%20ET%20CHEVRE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette jambon-fromage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20JAMBON-FROMAGE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette nature facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20NATURE%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"Omelette tomate basilic facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/oeuf%20et%20omelette/OMELETTE%20TOMATE%20BASILIC%20FACON%20THERMOCHEF.mp3","Oeuf et omelette"
"One pot cavatelli a la saucisse italienne et aux poivrons","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20CAVATELLI%20A%20LA%20SAUCISSE%20ITALIENNE%20ET%20AUX%20POIVRONS.mp3","One pot pasta"
"One pot conchiglie aux epinards et a la creme","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20CONCHIGLIE%20AUX%20EPINARDS%20ET%20A%20LA%20CREME.mp3","One pot pasta"
"One pot coquillettes saumon et creme citronnee","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20COQUILLETTES%20SAUMON%20ET%20CREME%20CITRONNEE.mp3","One pot pasta"
"One pot farfalle a la grecque vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20A%20LA%20GRECQUE%20VEGETARIEN.mp3","One pot pasta"
"One pot farfalle aux legumes printemps","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20AUX%20LEGUMES%20PRINTEMPS.mp3","One pot pasta"
"One pot farfalle champignons et creme","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20CHAMPIGNONS%20ET%20CREME.mp3","One pot pasta"
"One pot farfalle ratatouille vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FARFALLE%20RATATOUILLE%20VEGETARIEN.mp3","One pot pasta"
"One pot farfalleaux fruits de mer facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/one%20pot%20farfalleaux%20fruits%20de%20mer%20facon%20thermochef.mp3","One pot pasta"
"One pot fusilli a la ratatouille","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20A%20LA%20RATATOUILLE.mp3","One pot pasta"
"One pot fusilli bœuf stroganoff","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20B%C5%92UF%20STROGANOFF.mp3","One pot pasta"
"One pot fusilli carbonara de courgettes vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20CARBONARA%20DE%20COURGETTES%20VEGETARIEN.mp3","One pot pasta"
"One pot fusilli chorizo et poivrons","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20CHORIZO%20ET%20POIVRONS.mp3","One pot pasta"
"One pot fusilli et boulettes de viande facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20ET%20BOULETTES%20DE%20VIANDE%20FACON%20THERMOCHEF.mp3","One pot pasta"
"One pot fusilli pesto de roquette vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20PESTO%20DE%20ROQUETTE%20VEGETARIEN.mp3","One pot pasta"
"One pot fusilli poulet cacciatore","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20POULET%20CACCIATORE.mp3","One pot pasta"
"One pot fusilli primavera vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20FUSILLI%20PRIMAVERA%20VEGETARIEN.mp3","One pot pasta"
"One pot macaroni brocoli et fromage","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONI%20BROCOLI%20ET%20FROMAGE.mp3","One pot pasta"
"One pot macaroni cheeseburger","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONI%20CHEESEBURGER.mp3","One pot pasta"
"One pot macaronis a la carbonara facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONIS%20A%20LA%20CARBONARA%20FACON%20THERMOCHEF.mp3","One pot pasta"
"One pot macaronis alfredo au poulet facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONIS%20ALFREDO%20AU%20POULET%20FACON%20THERMOCHEF.mp3","One pot pasta"
"One pot macaronis aux artichauts et huile d’olive","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONIS%20AUX%20ARTICHAUTS%20ET%20HUILE%20D%E2%80%99OLIVE.mp3","One pot pasta"
"One pot macaronis aux legumes mediterraneens","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20MACARONIS%20AUX%20LEGUMES%20MEDITERRANEENS.mp3","One pot pasta"
"One pot macaronis crevettes et ail facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/one%20pot%20macaronis%20crevettes%20et%20ail%20facon%20thermochef.mp3","One pot pasta"
"One pot orecchiette aux olives et au citron","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ORECCHIETTE%20AUX%20OLIVES%20ET%20AU%20CITRON.mp3","One pot pasta"
"One pot orzo a la saucisse italienne et au poireau","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ORZO%20A%20LA%20SAUCISSE%20ITALIENNE%20ET%20AU%20POIREAU.mp3","One pot pasta"
"One pot orzo crevettes et citron","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ORZO%20CREVETTES%20ET%20CITRON.mp3","One pot pasta"
"One pot orzo mediterraneen vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ORZO%20MEDITERRANEEN%20VEGETARIEN.mp3","One pot pasta"
"One pot orzo poulet et citron","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ORZO%20POULET%20ET%20CITRON.mp3","One pot pasta"
"One pot pates au thon mediterraneen","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PATES%20AU%20THON%20MEDITERRANEEN.mp3","One pot pasta"
"One pot pates poulet et champignons","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PATES%20POULET%20ET%20CHAMPIGNONS.mp3","One pot pasta"
"One pot penne a la tomate et au basilic","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20A%20LA%20TOMATE%20ET%20AU%20BASILIC.mp3","One pot pasta"
"One pot penne au poulet et pesto rosso","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20AU%20POULET%20ET%20PESTO%20ROSSO.mp3","One pot pasta"
"One pot penne bolognaise","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20BOLOGNAISE.mp3","One pot pasta"
"One pot penne epinards et tomates sechees vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20EPINARDS%20ET%20TOMATES%20SECHEES%20VEGETARIEN.mp3","One pot pasta"
"One pot penne poulet et artichauts","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20POULET%20ET%20ARTICHAUTS.mp3","One pot pasta"
"One pot penne poulet et pesto","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PENNE%20POULET%20ET%20PESTO.mp3","One pot pasta"
"One pot pipe rigate brocoli et saumon","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20PIPE%20RIGATE%20BROCOLI%20ET%20SAUMON.mp3","One pot pasta"
"One pot radiatori au saumon fume et aux petits pois","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20RADIATORI%20AU%20SAUMON%20FUME%20ET%20AUX%20PETITS%20POIS.mp3","One pot pasta"
"One pot rigatoni a la norma vegetarien","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20RIGATONI%20A%20LA%20NORMA%20VEGETARIEN.mp3","One pot pasta"
"One pot rigatoni a la saucisse italienne","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20RIGATONI%20A%20LA%20SAUCISSE%20ITALIENNE.mp3","One pot pasta"
"One pot rigatoni porc effiloche","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20RIGATONI%20PORC%20EFFILOCHE.mp3","One pot pasta"
"One pot rotini puttanesca","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20ROTINI%20PUTTANESCA.mp3","One pot pasta"
"One pot tagliatelle champignons et prosciutto","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20TAGLIATELLE%20CHAMPIGNONS%20ET%20PROSCIUTTO.mp3","One pot pasta"
"One pot tagliatelle saumon et epinards","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20pasta/ONE%20POT%20TAGLIATELLE%20SAUMON%20ET%20EPINARDS.mp3","One pot pasta"
"Riz au curry de legumes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20CURRY%20DE%20LEGUMES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au curry vert et poulet facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20CURRY%20VERT%20ET%20POULET%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au pesto et tomates sechees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20PESTO%20ET%20TOMATES%20SECHEES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au poulet citronne et thym facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20POULET%20CITRONNE%20ET%20THYM%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au poulet et curry facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20POULET%20ET%20CURRY%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au poulet teriyaki facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20POULET%20TERIYAKI%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au saumon et asperges facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20SAUMON%20ET%20ASPERGES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz au saumon fume et aneth facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AU%20SAUMON%20FUME%20ET%20ANETH%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux artichauts et citron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20ARTICHAUTS%20ET%20CITRON%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux aubergines epicees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20AUBERGINES%20EPICEES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux carottes et cumin facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20CAROTTES%20ET%20CUMIN%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux cepes et parmesan facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20CEPES%20ET%20PARMESAN%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux champignons et persil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20CHAMPIGNONS%20ET%20PERSIL%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux champignons et poulet facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20CHAMPIGNONS%20ET%20POULET%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux courgettes et citron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20COURGETTES%20ET%20CITRON%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux crevettes epicees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20CREVETTES%20EPICEES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux epinards et feta facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20EPINARDS%20ET%20FETA%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux haricots rouges et chorizo facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20HARICOTS%20ROUGES%20ET%20CHORIZO%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux legumes du soleil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20LEGUMES%20DU%20SOLEIL%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux lentilles et epices facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20LENTILLES%20ET%20EPICES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux pois chiches et cumin facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20POIS%20CHICHES%20ET%20CUMIN%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz aux tomates cerises et basilic facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20AUX%20TOMATES%20CERISES%20ET%20BASILIC%20FACON%20THERMOCHEF.mp3","One pot rice"
"Riz coco-curry aux legumes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/one%20pot%20rice/RIZ%20COCO-CURRY%20AUX%20LEGUMES%20FACON%20THERMOCHEF.mp3","One pot rice"
"Bouillon de crevettes citronne facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/BOUILLON%20DE%20CREVETTES%20CITRONNE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe d’artichauts a l’ail roti facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20D%E2%80%99ARTICHAUTS%20A%20L%E2%80%99AIL%20ROTI%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe d’asperges a la menthe facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20D%E2%80%99ASPERGES%20A%20LA%20MENTHE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe d’epinards et noix de muscade facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20D%E2%80%99EPINARDS%20ET%20NOIX%20DE%20MUSCADE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de betteraves a l’orange facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20BETTERAVES%20A%20L%E2%80%99ORANGE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de carottes au gingembre facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20CAROTTES%20AU%20GINGEMBRE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de champignons aux fines herbes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20CHAMPIGNONS%20AUX%20FINES%20HERBES%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de chou-fleur au parmesan facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20CHOU-FLEUR%20AU%20PARMESAN%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de concombre et yaourt facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20CONCOMBRE%20ET%20YAOURT%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de courgettes au curry facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20COURGETTES%20AU%20CURRY%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de mais epicee facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20MAIS%20EPICEE%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de pois casses express facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20POIS%20CASSES%20EXPRESS%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe de poivrons rouges grilles facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20DE%20POIVRONS%20ROUGES%20GRILLES%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe rapide de tomates et basilic facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20RAPIDE%20DE%20TOMATES%20ET%20BASILIC%20FACON%20THERMOCHEF.mp3","Soupe rapide"
"Soupe thaie au lait de coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/soupe%20rapide/SOUPE%20THAIE%20AU%20LAIT%20DE%20COCO%20FACON%20THERMOCHEF.mp3","Soupe rapide"
